game_id,game_name,description,occasion,genre,game_type,age_group,items_needed,difficulty,duration_minutes,min_players,max_players,setup_time_minutes,cleanup_time_minutes,energy_level,venue_type,cultural_origin,rules,variations,safety_considerations,tags_keywords,cost_estimation,facilitator_required,venue_suitability,popularity_rating,customization_options,rental_availability,source_reference,feedback_summary,last_updated,dressing_style,most_popular_area
G001,Kabaddi Classic,"Kabaddi Classic is a high-energy contact sport that emphasizes tagging and breath-holding, ideal for adults (18+) looking for a challenging team game. Perfect for festival or wedding events.",Festival;Wedding,Traditional,Team,Adults (18+),"None","Hard",20,7,14,5,5,High,Outdoor,North India,"Players alternate between offense and defense; the raider must tag opponents and return without breaking the chant.","Indoor adaptations available with softer rules.","Warm-up is mandatory to avoid muscle injuries.","physical, traditional, competitive",0,No,Open ground,4.5,"Team size can be adjusted","No","Traditional folklore","A crowd favorite during harvest festivals.",2025-04-06,"Ethnic, Sporty",Punjab
G002,Kho Kho Challenge,"Kho Kho Challenge is a fast-paced tag game requiring speed and strategy. It is designed for teenagers (13-17) and adults, building agility and teamwork during casual and corporate events.",Corporate;Casual,Traditional,Team,Teens (13-17)/Adults (18+),"None","Medium",15,8,16,5,5,High,Outdoor,Western India,"Chasers must tag the runner who weaves between players; rules emphasize quick turns.","Variations with shorter tracks exist.","Ensure a soft surface to prevent slips.","agile, fun, competitive",0,No,Open field,4.3,"Rules can be simplified","No","Local tradition","Great for team-building sessions.",2025-04-06,"Casual, Sporty",Maharashtra
G003,Gilli Danda Fun,"Gilli Danda Fun recreates the traditional rural game using a small stick (gilli) and a larger stick (danda). Suited for kids (5-12) and families, it boosts hand-eye coordination and outdoor play.",Family;Birthday,Traditional,Solo,Kids (5-12)/Family,"Gilli, Danda","Medium",10,2,4,3,2,Moderate,Outdoor,North India,"Hit the gilli with the danda to score points; distance measures determine the winner.","Variations include team play versions.","Be cautious of uneven ground surfaces.","outdoor, nostalgic, skill-based",0,No,Backyard or open space,4.0,"Adjustable playing field","No","Folk game","Beloved in rural communities.",2025-04-06,"Ethnic, Casual",Uttar Pradesh
G004,Langdi Leap,"Langdi Leap is a hopping game where one leg is used while the other is tied; it’s a light-hearted game perfect for children (5-12) and family gatherings, promoting balance and fun.",Family;Festival,Traditional,Group,Kids (5-12)/Family,"None","Easy",8,3,10,3,2,Moderate,Outdoor,North India,"Players hop on one leg and try to tag others; once tagged, they join in the hopping.", "Can be played in teams or as a relay.","Watch for tripping hazards on uneven surfaces.","energetic, playful, traditional",0,No,Open playground,4.2,"Simple rule tweaks allowed","No","Traditional","Kids enjoy its silliness.",2025-04-06,"Ethnic, Casual",Haryana
G005,Kancha Mania,"Kancha Mania uses small glass marbles (kancha) in a game of skill and precision. Suitable for kids and teens, it teaches strategic thinking and fine motor control.",Birthday;Family,Traditional,Solo,Kids (5-12)/Teens (13-17),"Glass marbles","Easy",10,2,6,2,2,Low,Outdoor,North India,"Players flick marbles to hit a target marble; the one with the most wins.","Tournament style variations available.","Be cautious of broken glass; use plastic variants for safety.","strategic, traditional, precision",5,No,School playground,4.1,"Color-coded marbles optional","Yes","Local culture","A hit in rural schoolyards.",2025-04-06,"Casual, Ethnic",Bihar
G006,Carrom Strike,"Carrom Strike is an indoor board game of flicking discs into pockets. Ideal for all ages (family play), it sharpens concentration and precision in a relaxed setting.",Family;Indoor,Traditional,Board,Family (all ages),"Carrom board, coins, striker","Medium",30,2,4,5,5,Low,Indoor,Pan India,"Use the striker to hit coins into the pockets; players take turns until coins run out.","Can be modified with point multipliers.","Smooth surface is essential to avoid coin scatter.","indoor, strategic, classic",10,Yes,Living room or club,4.6,"Board size customizations","No","Traditional board games","Often praised for family bonding.",2025-04-06,"Formal, Casual",Maharashtra
G007,Ludo Royale,"Ludo Royale is a modern twist on the classic board game. Suitable for families and casual gatherings, it encourages strategic thinking and friendly competition.",Birthday;Family,Modern,Board,Family (all ages),"Ludo board, tokens, dice","Easy",25,2,4,3,2,Low,Indoor,Pan India,"Roll the dice to move tokens along the board; the first to complete the circuit wins.","Online multiplayer versions available.","Keep dice and tokens in a safe place to avoid loss.","fun, strategic, family",8,No,Indoor,4.4,"Colorful tokens options","No","Modern adaptation","Well-received by both young and old.",2025-04-06,"Casual, Trendy",Delhi
G008,Chess Master,"Chess Master is the classic game of strategy and foresight, ideal for adults and teens. It’s perfect for quiet indoor settings and intellectual gatherings.",Corporate;Birthday,Modern,Board,Teens (13-17)/Adults (18+),"Chess board, pieces","Hard",60,2,2,10,5,Low,Indoor,Pan India,"Standard chess rules apply; each move must be carefully considered.","Blitz chess and rapid chess variations available.","Ensure a quiet space for concentration.","intellectual, strategic, classic",0,No,Quiet room,4.7,"Custom chess sets available","No","Ancient strategy","A timeless favorite across India.",2025-04-06,"Formal, Classic",Kolkata
G009,Snakes and Ladders Journey,"Snakes and Ladders Journey is a luck-based board game perfect for young kids and family game nights. It teaches counting and simple strategy.",Family;Birthday,Traditional,Board,Kids (5-12)/Family,"Game board, dice, tokens","Easy",15,2,4,3,2,Low,Indoor,Pan India,"Players move along the board; landing on a snake sends them back, while ladders boost progress.","Variations may include extra challenge squares.","Keep small tokens away from small children.","fun, educational, classic",0,No,Indoor,4.0,"Themes can be customized","No","Traditional","Cherished across generations.",2025-04-06,"Casual, Ethnic",Rajasthan
G010,Hopscotch Hype,"Hopscotch Hype reinvents the classic chalk-drawn game, ideal for kids (5-12). It enhances balance and coordination while sparking creativity in outdoor spaces.",Birthday;Family,Traditional,Group,Kids (5-12),"Chalk, small stone","Easy",10,1,10,2,2,Moderate,Outdoor,Pan India,"Draw the hopscotch grid and hop through the numbered boxes without stepping on the lines.","Variations include advanced grids for older kids.","Ensure a safe, non-slippery surface.","energetic, creative, outdoor",0,No,Sidewalk or park,4.3,"Grid sizes adjustable","No","Childhood game","Popular in schoolyards.",2025-04-06,"Casual, Ethnic",Maharashtra
G011,Pithoo Smash,"Pithoo Smash (Lagori) is a team-based game using a pile of flat stones and a ball. Perfect for children and teens, it builds teamwork and physical coordination.",Festival;Family,Traditional,Team,Kids (5-12)/Teens (13-17),"Flat stones, soft ball","Medium",15,4,10,4,3,High,Outdoor,North India,"Knock down the stone pile with the ball; rebuild it before opponents hit you.","Can be played in tournaments or casual rounds.","Ensure the ground is even to avoid injuries.","teamwork, energetic, traditional",0,No,Open ground,4.5,"Rules can be adapted","Yes","Local folklore","Highly engaging in rural areas.",2025-04-06,"Ethnic, Casual",Uttar Pradesh
G012,Chaupar Classic,"Chaupar Classic is an ancient board game similar to Ludo, involving dice and strategic movement of pieces. Suitable for family gatherings and cultural events.",Family;Cultural,Traditional,Board,Family (all ages),"Chaupar board, dice, tokens","Medium",30,2,4,5,5,Low,Indoor,North India,"Players move pieces based on dice throws; the aim is to reach the finish first.","Multiple rule variants exist based on regional traditions.","Keep small pieces away from very young children.","cultural, strategic, board game",0,No,Indoor,4.2,"Handcrafted boards available","No","Ancient tradition","Respected as a cultural pastime.",2025-04-06,"Ethnic, Traditional",Punjab
G013,Badminton Bash,"Badminton Bash is a fast-paced racket sport perfect for casual outdoor events and corporate team outings. It boosts agility and friendly competition among adults.",Corporate;Outdoor,Sport,Team,Adults (18+),"Badminton racket, shuttlecock, net","Medium",20,2,4,5,5,High,Outdoor,Pan India,"Standard badminton rules apply; players score by landing the shuttlecock in opponent’s court.","Singles and doubles variations available.","Ensure the playing area is free from obstacles.","active, competitive, fun",15,No,Outdoor court,4.4,"Net height and court size adjustments","No","Modern sport","Widely popular in urban parks.",2025-04-06,"Sporty, Casual",Mumbai
G014,Cricket Carnival,"Cricket Carnival is a mini version of cricket designed for short, fun matches. It’s ideal for families and community events, catering to both kids and adults.",Festival;Family,Sport,Team,Family (all ages),"Cricket bat, ball, stumps","Medium",30,4,11,10,10,Moderate,Outdoor,Pan India,"Players hit the ball and run between wickets; simplified rules make it accessible to everyone.","Can be adapted to a T20 format for faster play.","Supervise to prevent injuries from fast balls.","popular, team, sport",20,Yes,Open ground,4.6,"Adjustable rules based on age","Yes","Local culture","A festival favorite during summer.",2025-04-06,"Casual, Sporty",Delhi
G015,Volleyball Vibes,"Volleyball Vibes offers a high-energy, team-based beach or court sport. It’s suited for young adults and corporate events, emphasizing teamwork and fitness.",Corporate;Outdoor,Sport,Team,Adults (18+),"Volleyball, net","Medium",25,6,12,10,5,High,Outdoor,Pan India,"Standard volleyball rules apply; the ball must be kept in the air using teamwork.","Beach volleyball variants available with sand-specific rules.","Ensure the net is securely set up and play on safe surfaces.","energetic, team, outdoor",10,Yes,Beach or sports court,4.5,"Rule adjustments for casual play","No","Modern sport","Highly popular along coastal regions.",2025-04-06,"Casual, Sporty",Goa
G016,Kabaddi Indoor,"Kabaddi Indoor is a modified version of the classic Kabaddi, designed for indoor spaces and corporate team-building events. It balances intensity with safety.",Corporate;Indoor,Traditional,Team,Adults (18+),"None","Medium",18,6,14,5,5,Moderate,Indoor,North India,"Indoor rules shorten the play area; players must tag opponents and return safely.","Adapted boundaries for indoor play.","Ensure proper cushioning and space to avoid collisions.","corporate, energetic, traditional",0,No,Indoor hall,4.3,"Space and team adjustments allowed","No","Adapted tradition","Well-received in corporate retreats.",2025-04-06,"Formal, Sporty",Delhi
G017,Kabbadi Lite,"Kabbadi Lite is a family-friendly, less intense version of Kabaddi designed for mixed-age groups. It’s perfect for weddings and community gatherings.",Wedding;Family,Traditional,Team,Family (all ages),"None","Easy",15,4,12,5,5,Moderate,Outdoor,North India,"Simplified tagging and shorter rounds allow everyone to participate.","Mini-rounds and timed sessions available.","Monitor for over-exertion among older players.","family, light, traditional",0,No,Community ground,4.1,"Adjustable game duration","No","Traditional variant","Popular at community events.",2025-04-06,"Ethnic, Casual",Uttar Pradesh
G018,Kho Kho Sprint,"Kho Kho Sprint is an accelerated version of the classic tag game that requires quick reflexes and agility. It’s best suited for teenagers and young adults.",Sports;School,Traditional,Team,Teens (13-17)/Adults (18+),"None","Medium",12,8,16,4,3,High,Outdoor,Western India,"Players chase and tag opponents in a predefined route; sprinting is key.","Shorter rounds for quicker games.","Ensure the play area is obstacle-free.","fast, energetic, tag game",0,No,Open field,4.2,"Field size can be modified","No","Local tradition","Great for school sports fests.",2025-04-06,"Casual, Sporty",Maharashtra
G019,Satoliya Showdown,"Satoliya Showdown (Lagori variant) is a dynamic game of knocking down a pile of stones and quickly restoring it. It suits children and teens and builds teamwork.",Festival;Family,Traditional,Team,Kids (5-12)/Teens (13-17),"Stones, soft ball","Medium",15,4,10,4,3,High,Outdoor,North India,"Throw the ball to knock down a stone pile; rebuild before the opposing team hits you.","Competitive and casual rounds available.","Watch for loose stones causing trips.","energetic, fun, traditional",0,No,Outdoor,4.4,"Rules can be simplified for younger kids","Yes","Local folklore","A regional hit in rural play.",2025-04-06,"Ethnic, Casual",Uttar Pradesh
G020,Stapu Steps,"Stapu Steps is an advanced version of hopscotch that challenges balance and precision. Perfect for kids (5-12) and early teens in school or neighborhood settings.",School;Birthday,Traditional,Group,Kids (5-12),"Chalk, stone","Easy",8,1,12,2,2,Moderate,Outdoor,Pan India,"Players hop through a chalk-drawn grid without stepping on lines; missing a square results in a loss.","Grid designs can be more complex for older kids.","Ensure the drawing surface is safe and flat.","classic, playful, educational",0,No,Sidewalk,4.0,"Grid size and design customization","No","Traditional","A common sight in school playgrounds.",2025-04-06,"Casual, Ethnic",Maharashtra
G021,Mallakhamb Flow,"Mallakhamb Flow is a traditional Indian gymnastic sport using a wooden pole. It’s best suited for adults (18+) and athletes looking to enhance flexibility and strength.",Corporate;Sports,Traditional,Solo,Adults (18+),"Wooden pole, mat","Hard",20,1,1,10,5,High,Indoor/Outdoor,Western India,"Perform gymnastic poses on a vertical pole; focus on balance and strength.","Multiple difficulty levels available.","Requires supervision and proper training to avoid injuries.","athletic, challenging, traditional",0,Yes,Gymnasium,4.5,"Training modules available","No","Historical sport","Admired in athletic clubs.",2025-04-06,"Sporty, Formal",Maharashtra
G022,Kite Flying Frenzy,"Kite Flying Frenzy transforms kite flying into a competitive and creative sport. Ideal for families and festivals, it encourages artistic expression and outdoor fun.",Festival;Family,Traditional,Group,Kids (5-12)/Family,"Kites, string, markers","Easy",30,2,20,10,5,Moderate,Outdoor,North India,"Fly kites and compete for the highest or most creative design; rules vary by contest.","Competitive and casual modes available.","Avoid power lines and open roads during play.","colorful, creative, festival",10,No,Open ground,4.3,"Custom kite designs possible","Yes","Cultural festival","A festival highlight in many northern states.",2025-04-06,"Ethnic, Casual",Uttar Pradesh
G023,Garba Groove,"Garba Groove is a rhythmic dance game from Gujarat that involves synchronized movements around a central lamp. Perfect for weddings and Navratri festivals.",Wedding;Festival,Traditional,Dance,Family (all ages),"Dandiya sticks, traditional attire","Medium",25,4,50,5,5,Moderate,Indoor/Outdoor,West India,"Dance in circles with rhythmic steps; follow the beat of traditional songs.","Variations include faster beats and group formations.","Ensure the dance floor is clear and safe.","dance, rhythmic, cultural",0,Yes,Banquet hall or open ground,4.7,"Step variations for beginners","No","Cultural dance","A must-have at Navratri events.",2025-04-06,"Ethnic, Festive",Gujarat
G024,Dandiya Dash,"Dandiya Dash is a high-energy dance game that modernizes traditional Dandiya. It is designed for all age groups and is ideal for festive gatherings and corporate parties.",Corporate;Festival,Traditional,Dance,Family (all ages),"Dandiya sticks, music system","Medium",20,4,50,5,5,High,Indoor/Outdoor,West India,"Participants dance in sync with dandiya sticks, following choreographed steps.","Can include competitive rounds with judges.","Ensure ample space to avoid collisions.","energetic, festive, rhythmic",0,Yes,Large hall or open ground,4.6,"Choreography adjustments possible","No","Traditional dance","Widely celebrated during festivals.",2025-04-06,"Ethnic, Festive",Gujarat
G025,Channapatna Challenge,"Channapatna Challenge is inspired by traditional toy-making and involves a playful contest using colorful wooden pieces. It suits kids (5-12) and families.",Family;Birthday,Traditional,Group,Kids (5-12)/Family,"Wooden pieces, small board","Easy",15,2,8,3,2,Low,Indoor,South India,"Players flick wooden pieces to hit a target on a board; the closest piece wins.","Multiple rounds with varying difficulty levels.","Smooth, splinter-free pieces recommended.","creative, traditional, playful",5,No,Indoor room,4.2,"Color customization available","Yes","Local craft","Celebrated in southern households.",2025-04-06,"Casual, Ethnic",Karnataka
G026,Marble Maze,"Marble Maze is a strategic board game that uses marbles and a maze board to challenge problem-solving skills. It is ideal for teens and families.",Family;Birthday,Modern,Board,Teens (13-17)/Family,"Marble maze board, marbles","Medium",20,2,4,5,5,Low,Indoor,Pan India,"Guide your marble through the maze; obstacles slow progress.","Digital and physical versions available.","Keep board surfaces clean for optimal play.","strategic, fun, modern",10,No,Indoor,4.3,"Board design options available","No","Modern game","Enjoyed in both homes and clubs.",2025-04-06,"Formal, Trendy",Delhi
G027,Antakshari Anthem,"Antakshari Anthem is a singing game that encourages participants to sing songs starting with the ending syllable of the previous song. Great for all ages and gatherings.",Family;Wedding,Traditional,Group,Family (all ages),"None","Easy",30,4,30,5,5,Moderate,Indoor,Pan India,"Participants sing in turns; the next song must start with the last letter of the previous song.","Variants include competitive rounds with scoring.","Ensure a sound system for larger groups.","musical, traditional, interactive",0,No,Indoor or outdoor,4.5,"Song selection themes can be adjusted","No","Cultural tradition","Beloved at family functions.",2025-04-06,"Ethnic, Festive",Maharashtra
